complaint_id,date_received,product,issue,company,state,timely_response,consumer_disputed,company_response
1001,2024-01-03,Credit card,Incorrect information,Northstar Bank,VA,Yes,No,Closed with explanation
1002,2024-01-05,Credit reporting,Account status incorrect,Atlas Credit Services,NY,Yes,Yes,Closed with explanation
1003,2024-01-08,Mortgage,Payment processing,Northstar Bank,VA,No,Yes,Closed with monetary relief
1004,2024-01-11,Debt collection,Debt not owed,Beacon Recovery,MD,Yes,No,Closed with explanation
1005,2024-02-02,Credit card,Fees or interest,Northstar Bank,CA,Yes,No,Closed with non-monetary relief
1006,2024-02-09,Credit reporting,Identity theft,Atlas Credit Services,TX,No,Yes,Closed with explanation
1007,2024-02-16,Checking account,Funds availability,Harbor Financial,VA,Yes,No,Closed with explanation
1008,2024-03-01,Mortgage,Escrow account,Harbor Financial,FL,Yes,Yes,Closed with monetary relief
1009,2024-03-12,Debt collection,Communication tactics,Beacon Recovery,NY,No,Yes,Closed with explanation
1010,2024-03-21,Credit card,Unauthorized transaction,Northstar Bank,MD,Yes,No,Closed with monetary relief
1011,2024-04-03,Checking account,Account closure,Harbor Financial,CA,Yes,No,Closed with explanation
1012,2024-04-18,Credit reporting,Account status incorrect,Atlas Credit Services,VA,No,Yes,Closed with explanation

